FirstName,LastName,DOB,BirthPlace,Weight,Height,Position,Shot,JerseyNumber
Connor,Brown,Jan-14-1994,Toronto-ON-CAN,184,72,RightWing,Right,28
Leon,Draisaitl,Oct-27-1995,Cologne-DEU,209,74,Center,Left,29
Adam,Erne,Apr-20-1995,New Haven-CT-USA,215,73,LeftWing,Left,21
Warren,Foegele,Apr-01-1996,Markham-ON-CAN,204,74,LeftWing,Left,37
Dylan,Holloway,Sep-23-2001,Calgary-AB-CAN,206,73,LeftWing,Left,55
Zach,Hyman,Jun-09-1992,Toronto-ON-CAN,206,73,LeftWing,Right,18
Mattias,Janmark,Dec-08-1992,Danderyd-SWE,205,74,Center,Left,13
Evander,Kane,Aug-02-1991,Vancouver-BC-CAN,218,74,LeftWing,Left,91
Connor,McDavid,Jan-13-1997,Richmond Hill-ON-CAN,194,73,Center,Left,97
Ryan,McLeod,Sep-21-1999,Mississauga-ON-CAN,188,75,Center,Left,71
Ryan,Nugent-Hopkins,Apr-12-1993,Burnaby-BC-CAN,192,73,Center,Left,93
Derek,Ryan,Dec-29-1986,Spokane-WA-USA,185,70,Center,Right,10
Evan,Bouchard,Oct-20-1999,Oakville-ON-CAN,192,75,Defense,Right,2
Philip,Broberg,Jun-25-2001,Orebro-SWE,212,76,Defense,Left,86
Cody,Ceci,Dec-21-1993,Ottawa-ON-CAN,210,75,Defense,Right,5
Vincent,Desharnais,May-29-1996,Laval-QC-CAN,226,79,Defense,Right,73
Mattias,Ekholm,May-24-1990,Borlange-SWE,225,77,Defense,Left,14
Brett,Kulak,Jan-06-1994,Edmonton-AB-CAN,192,74,Defense,Left,27
Darnell,Nurse,Feb-04-1995,Hamilton-ON-CAN,215,76,Defense,Left,25
Jack,Campbell,Jan-09-1992,Port Huron-MI-USA,200,75,Goalie,Left,36
Stuart,Skinner,Nov-01-1998,Edmonton-AB-CAN,230,76,Goalie,Left,74
